"Cover";"Qty_CD";"Date_Modifs";"Family";"MD5";"Length";"Qty_CueERR";"ID_CD";"Qty_covers";"Statut";"Duration";"Qty_Tracks";"Typ_Tag";"Qty_repMusic";"RHDD_Modifs";"Label";"Position1";"Category";"Position2";"Year";"Qty_audio";"Path";"Typ_Audio";"ISRC";"Size";"Date_Insert";"Qty_Cue";"Name";"Qty_repCover"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Cosma - Nonstop [HOM-Mega Productions] (2003)\cover.jpg";"1";"2017-07-27 20:58:08";"Download";"3FD311FABD806999D677734708FCF87E";"01:09:23";"1";"3143";"4";"UPDATE";"4163,226";"9";"TAG";"1";"2017-07-17 22:23:44";"";"Download";"TRANCE";"_2000_2004";"2003";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Cosma - Nonstop [HOM-Mega Productions] (2003)";"FLAC";"";"441";"2016-06-10 23:42:34";"2";"Cosma - Nonstop [HOM-Mega Productions] ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Shadow Fx - Direct Influence [Zenon Records] (2007)\cover.jpg";"1";"2017-07-27 20:59:30";"Download";"A1FE494DDC8111FF37192946AF7BC2D5";"01:11:09";"0";"4324";"5";"NEW";"4268,813";"9";"TAG";"1";"2017-07-27 20:32:50";"";"Download";"TRANCE";"_2005_2009";"2007";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Shadow Fx - Direct Influence [Zenon Records] (2007)";"FLAC";"";"406";"2017-07-27 20:59:30";"0";"Shadow Fx - Direct Influence [Zenon Records] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Cortex - Tradition of Sorcerer (2014)\cover.jpg";"1";"2017-07-27 21:00:07";"Download";"0D85922EDB945AF866994BFFA1DEA6CC";"01:02:21";"0";"4325";"1";"NEW";"3741";"10";"CUE";"1";"2017-07-27 20:43:15";"";"Download";"TRANCE";"_2010_2014";"2014";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Cortex - Tradition of Sorcerer (2014)";"FLAC";"";"411";"2017-07-27 21:00:07";"1";"Cortex - Tradition of Sorcerer ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\VA - Get Connected Volume 2 (2013)\cover.jpg";"1";"2017-07-27 21:00:52";"Download";"F793084C216336773B796D123E84968A";"01:16:02";"0";"4314";"2";"UPDATE";"4561,959";"10";"TAG";"1";"2017-07-06 16:35:21";"";"Download";"TRANCE";"_2010_2014";"2013";"10";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\VA - Get Connected Volume 2 (2013)";"FLAC";"";"525";"2017-07-06 16:34:53";"0";"VA - Get Connected Volume 2 ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Ajja, Outsiders - Divine Particle EP (2017)\cover.jpg";"1";"2017-07-27 21:01:09";"Download";"C2E3C26EA02F5898DF12532DA1569929";"00:07:33";"0";"4326";"1";"NEW";"453,333";"1";"TAG";"1";"2017-07-09 19:32:29";"";"Download";"TRANCE";"_2015_2019";"2017";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Ajja, Outsiders - Divine Particle EP (2017)";"FLAC";"";"53";"2017-07-27 21:01:09";"0";"Ajja, Outsiders - Divine Particle EP ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Astral Projection - Y-Salem EP [Dacru Records] (2017)\cover.jpg";"1";"2017-07-27 21:01:17";"Download";"573140559BF0872D0E6CD656C1C34C04";"00:18:02";"0";"4327";"2";"NEW";"1081,69";"2";"TAG";"1";"2017-07-27 20:27:56";"";"Download";"TRANCE";"_2015_2019";"2017";"2";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Astral Projection - Y-Salem EP [Dacru Records] (2017)";"FLAC";"";"127";"2017-07-27 21:01:17";"0";"Astral Projection - Y-Salem EP [Dacru Records] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Astronomical - Show Time EP [Majestic Records] (japan) (2017)\cover.jpg";"1";"2017-07-27 21:01:23";"Download";"186D433C5C606736D18367C659928A28";"00:33:13";"0";"4328";"2";"NEW";"1993,25";"4";"TAG";"1";"2017-07-17 22:26:39";"";"Download";"TRANCE";"_2015_2019";"2017";"4";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Astronomical - Show Time EP [Majestic Records] (japan) (2017)";"FLAC";"";"260";"2017-07-27 21:01:23";"0";"Astronomical - Show Time EP [Majestic Records] (japan) ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Atmos - The Only Process (Metronome Remix) [AMTR0011] (2017)\folder.jpg";"1";"2017-07-27 21:01:29";"Download";"EDAC54AD089249AE93831D2C0E1772E7";"00:09:00";"0";"4329";"1";"NEW";"540,114";"1";"TAG";"1";"2017-07-10 15:28:03";"";"Download";"TRANCE";"_2015_2019";"2017";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Atmos - The Only Process (Metronome Remix) [AMTR0011] (2017)";"FLAC";"";"59";"2017-07-27 21:01:29";"0";"Atmos - The Only Process (Metronome Remix) [AMTR0011] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Audiotec - Future Memories - Antinomy Remix EP (2017)\cover.jpg";"1";"2017-07-27 21:01:34";"Download";"398818A921A798C63953F2363E73F243";"00:07:02";"0";"4330";"1";"NEW";"421,714";"1";"TAG";"1";"2017-07-09 19:34:47";"";"Download";"TRANCE";"_2015_2019";"2017";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Audiotec - Future Memories - Antinomy Remix EP (2017)";"FLAC";"";"48";"2017-07-27 21:01:34";"0";"Audiotec - Future Memories - Antinomy Remix EP ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Biocycle - Art + Science EP (2017)\cover.jpg";"1";"2017-07-27 21:01:39";"Download";"45730030C6DDD1142FC78F86CB66A17E";"00:13:33";"0";"4331";"2";"NEW";"812,572";"2";"TAG";"1";"2017-07-09 19:38:03";"";"Download";"TRANCE";"_2015_2019";"2017";"2";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Biocycle - Art + Science EP (2017)";"FLAC";"";"86";"2017-07-27 21:01:39";"0";"Biocycle - Art + Science EP ";"0"
