"TAG_Duration";"FIL_Track";"TAG_length";"TAG_Exten";"ODR_Track";"TAG_Albumartists";"Position1";"TAG_Year";"TAG_Artists";"TAG_Genres";"REP_Album";"Position2";"TAG_Album";"Category";"TAG_Disc";"TAG_Track";"TAG_Title";"ID_CD";"REP_Track";"Date_Insert";"Statut";"ID_TRACK";"Family"
"414,72";"01. Be Yourself.flac";"00:06:55";"Flac Audio";"1-01";"";"Download";"2017";"Detuned";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"Detuned - Connected (2017)";"Connected";"TECHNO";"1";"01";"Be Yourself";"4285";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"2017-07-27 20:50:21";"NEW";"63144";"Download"
"443,963";"02. Connected.flac";"00:07:24";"Flac Audio";"1-02";"";"Download";"2017";"Detuned";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"Detuned - Connected (2017)";"Connected";"TECHNO";"1";"02";"Connected";"4285";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"2017-07-27 20:50:21";"NEW";"63145";"Download"
"430,08";"03. In Your Face (feat. Thayana Valle).flac";"00:07:10";"Flac Audio";"1-03";"";"Download";"2017";"Detuned & Thayana Valle";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"Detuned - Connected (2017)";"Connected";"TECHNO";"1";"03";"In Your Face (feat. Thayana Valle)";"4285";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"2017-07-27 20:50:21";"NEW";"63146";"Download"
"402,581";"04. No Misantropy.flac";"00:06:43";"Flac Audio";"1-04";"";"Download";"2017";"Detuned";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"Detuned - Connected (2017)";"Connected";"TECHNO";"1";"04";"No Misantropy";"4285";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"2017-07-27 20:50:21";"NEW";"63147";"Download"
"414,72";"05. Reset.flac";"00:06:55";"Flac Audio";"1-05";"";"Download";"2017";"Detuned";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"Detuned - Connected (2017)";"Connected";"TECHNO";"1";"05";"Reset";"4285";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"2017-07-27 20:50:22";"NEW";"63148";"Download"
"430,08";"06. The Drugs.flac";"00:07:10";"Flac Audio";"1-06";"";"Download";"2017";"Detuned";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"Detuned - Connected (2017)";"Connected";"TECHNO";"1";"06";"The Drugs";"4285";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"2017-07-27 20:50:22";"NEW";"63149";"Download"
"353,28";"07. The Force.flac";"00:05:53";"Flac Audio";"1-07";"";"Download";"2017";"Detuned";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"Detuned - Connected (2017)";"Connected";"TECHNO";"1";"07";"The Force";"4285";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"2017-07-27 20:50:22";"NEW";"63150";"Download"
"399,36";"08. We Are.flac";"00:06:39";"Flac Audio";"1-08";"";"Download";"2017";"Detuned";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"Detuned - Connected (2017)";"Connected";"TECHNO";"1";"08";"We Are";"4285";"\\HOMERSTATION\_LossLess\TECHNO\Download\Detuned - Connected (2017)";"2017-07-27 20:50:22";"NEW";"63151";"Download"
"208";"01. Intro (Darkside).flac";"00:03:28";"Flac Audio";"1-01";"";"Download";"2017";"Lazar (IT)";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Lazar - The Dark Side Of The Mind (2017)";"Lazar - The Dark Side Of The Mind (2017)";"The Dark Side Of The Mind (Artist Album)";"TECHNO";"1";"01";"Intro (Darkside)";"4287";"\\HOMERSTATION\_LossLess\TECHNO\Download\Lazar - The Dark Side Of The Mind (2017)";"2017-07-27 20:51:10";"NEW";"63152";"Download"
"373,548";"02. Black Shadow (Original Mix).flac";"00:06:14";"Flac Audio";"1-02";"";"Download";"2017";"Lazar (IT)";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Lazar - The Dark Side Of The Mind (2017)";"Lazar - The Dark Side Of The Mind (2017)";"The Dark Side Of The Mind (Artist Album)";"TECHNO";"1";"02";"Black Shadow (Original Mix)";"4287";"\\HOMERSTATION\_LossLess\TECHNO\Download\Lazar - The Dark Side Of The Mind (2017)";"2017-07-27 20:51:10";"NEW";"63153";"Download"
"499,048";"03. Dark Side Of The Moon (Original Mix).flac";"00:08:19";"Flac Audio";"1-03";"";"Download";"2017";"Lazar (IT)";"";"\\HOMERSTATION\_LossLess\TECHNO\Download\Lazar - The Dark Side Of The Mind (2017)";"Lazar - The Dark Side Of The Mind (2017)";"The Dark Side Of The Mind (Artist Album)";"TECHNO";"1";"03";"Dark Side Of The Moon (Original Mix)";"4287";"\\HOMERSTATION\_LossLess\TECHNO\Download\Lazar - The Dark Side Of The Mind (2017)";"2017-07-27 20:51:10";"NEW";"63154";"Download"
