"Cover";"Qty_CD";"Date_Modifs";"Family";"MD5";"Length";"Qty_CueERR";"ID_CD";"Qty_covers";"Statut";"Duration";"Qty_Tracks";"Typ_Tag";"Qty_repMusic";"RHDD_Modifs";"Label";"Position1";"Category";"Position2";"Year";"Qty_audio";"Path";"Typ_Audio";"ISRC";"Size";"Date_Insert";"Qty_Cue";"Name";"Qty_repCover"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)\cover.jpg";"1";"2017-03-13 12:49:05";"Download";"0988CAAE2D3C87780C6195C3392DC4AF";"01:04:32";"0";"4000";"1";"NEW";"3872";"9";"CUE";"1";"2017-03-09 14:25:45";"";"Download";"TRANCE";"_2000_2004";"2004";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"APE";"";"433";"2017-03-13 12:49:05";"1";"Astrix - Artcore ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Green House Effect - Global Warming (2001)\cover.jpg";"1";"2017-03-13 12:49:19";"Download";"133405776AB2F63EB47453320CCA449D";"01:11:39";"0";"4001";"7";"NEW";"4298,599";"9";"TAG";"1";"2017-03-09 14:01:25";"";"Download";"TRANCE";"_2000_2004";"2001";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Green House Effect - Global Warming (2001)";"FLAC";"";"466";"2017-03-13 12:49:19";"0";"Green House Effect - Global Warming ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Space Cat - Mechanical Dream (japan) (2004)\cover.jpg";"1";"2017-03-13 12:49:37";"Download";"78A1F9DB531C04AD27526ADA4137F003";"01:10:11";"1";"4002";"1";"NEW";"4210,814";"9";"TAG";"1";"2017-03-13 12:22:30";"";"Download";"TRANCE";"_2000_2004";"2004";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Space Cat - Mechanical Dream (japan) (2004)";"FLAC";"";"454";"2017-03-13 12:49:37";"1";"Space Cat - Mechanical Dream (japan) ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Infected Mushroom & Yahel - Computech (2005)\cover.jpg";"1";"2017-03-13 12:50:14";"Download";"C335A5CF0551366841F7835A853025FA";"01:11:00";"1";"4003";"2";"NEW";"4260,013";"10";"TAG";"1";"2017-03-09 14:02:16";"";"Download";"TRANCE";"_2005_2009";"2005";"10";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Infected Mushroom & Yahel - Computech (2005)";"FLAC";"";"489";"2017-03-13 12:50:14";"1";"Infected Mushroom & Yahel - Computech ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Artifact303 - Back To Space [Suntrip Records] (2011)\cover.jpg";"1";"2017-03-13 12:50:48";"Download";"75F940A87BF3C2DEDB5A67899F3F18ED";"01:19:26";"0";"4004";"8";"NEW";"4766,452";"9";"TAG";"1";"2017-03-13 12:18:02";"";"Download";"TRANCE";"_2010_2014";"2011";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Artifact303 - Back To Space [Suntrip Records] (2011)";"FLAC";"";"689";"2017-03-13 12:50:48";"1";"Artifact303 - Back To Space [Suntrip Records] ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Digital Tribe - Sound Of My Soul [Parabola Rec.] (2011)\cover.jpg";"1";"2017-03-13 12:51:00";"Download";"724BED3E9F79A231E13257A62B7A9077";"01:15:43";"0";"4005";"8";"NEW";"4543,412";"10";"TAG";"1";"2017-03-13 12:17:10";"";"Download";"TRANCE";"_2010_2014";"2011";"10";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Digital Tribe - Sound Of My Soul [Parabola Rec.] (2011)";"FLAC";"";"651";"2017-03-13 12:51:00";"1";"Digital Tribe - Sound Of My Soul [Parabola Rec.] ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Elea - Exploring Stratosphere [Mandala Records] (2013)\cover.jpg";"1";"2017-03-13 12:51:09";"Download";"820928F0CF3A1D2B7ACBAA0CB4B9AE89";"01:09:53";"0";"4006";"1";"NEW";"4193";"9";"CUE";"1";"2017-03-13 12:17:13";"";"Download";"TRANCE";"_2010_2014";"2013";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Elea - Exploring Stratosphere [Mandala Records] (2013)";"FLAC";"";"505";"2017-03-13 12:51:09";"1";"Elea - Exploring Stratosphere [Mandala Records] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Omnivox - Fragments of Evolution (2014)\cover.jpg";"1";"2017-03-13 12:51:30";"Download";"07A8BFFA72A647ECD047A0E6150164D8";"01:19:55";"0";"4007";"1";"NEW";"4795";"10";"CUE";"1";"2017-03-13 12:17:27";"";"Download";"TRANCE";"_2010_2014";"2014";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Omnivox - Fragments of Evolution (2014)";"FLAC";"";"595";"2017-03-13 12:51:30";"1";"Omnivox - Fragments of Evolution ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\VA - Blacklight Moments [Suntrip Records - SUNCD28] (2013)\cover.jpg";"1";"2017-03-13 12:51:50";"Download";"B844D4E6FF5CC9464DB3FE981281C484";"01:18:55";"0";"4008";"6";"NEW";"4735";"10";"CUE";"1";"2017-03-13 12:23:42";"";"Download";"TRANCE";"_2010_2014";"2013";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\VA - Blacklight Moments [Suntrip Records - SUNCD28] (2013)";"FLAC";"";"718";"2017-03-13 12:51:50";"1";"VA - Blacklight Moments [Suntrip Records - SUNCD28] ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Aioaska - FLOW Friends EP Vol.1 (2017)\cover.jpg";"1";"2017-03-13 12:52:13";"Download";"1EDE5760C474D1772CF26B2A2C6E323F";"00:24:14";"0";"4009";"1";"NEW";"1453,88";"3";"TAG";"1";"2017-03-08 00:37:15";"";"Download";"TRANCE";"_2015_2019";"2017";"3";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Aioaska - FLOW Friends EP Vol.1 (2017)";"FLAC";"";"157";"2017-03-13 12:52:13";"0";"Aioaska - FLOW Friends EP Vol.1 ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Atacama - Escape From Velocity EP (2016)\cover.jpg";"1";"2017-03-13 12:52:20";"Download";"149E0DBC82E000EE1949FA2B382864C9";"00:17:30";"0";"4010";"2";"NEW";"1050,426";"2";"TAG";"1";"2017-03-08 00:37:46";"";"Download";"TRANCE";"_2015_2019";"2016";"2";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Atacama - Escape From Velocity EP (2016)";"FLAC";"";"105";"2017-03-13 12:52:20";"0";"Atacama - Escape From Velocity EP ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Braincell - Connecting Multiverses (2017)\cover.jpg";"1";"2017-03-13 12:52:29";"Download";"ED6A6B9343165C564C1EF39E48575010";"01:09:56";"0";"3991";"2";"UPDATE";"4196,416";"9";"TAG";"1";"2017-03-07 12:53:20";"";"Download";"TRANCE";"_2015_2019";"2017";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Braincell - Connecting Multiverses (2017)";"FLAC";"";"530";"2017-03-07 12:52:20";"0";"Braincell - Connecting Multiverses ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Melodeep - Escape Into The Truth EP (2017)\cover.jpg";"1";"2017-03-13 12:53:04";"Download";"E235A679924B747E6DBBCAB97496231E";"00:17:03";"0";"4011";"1";"NEW";"1022,988";"2";"TAG";"1";"2017-03-13 12:21:37";"";"Download";"TRANCE";"_2015_2019";"2017";"2";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Melodeep - Escape Into The Truth EP (2017)";"FLAC";"";"116";"2017-03-13 12:53:04";"0";"Melodeep - Escape Into The Truth EP ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Relativ - HalluciNation EP (2017)\cover.jpg";"1";"2017-03-13 12:53:34";"Download";"4F362A8FDB100E629B67701D001CE70F";"00:17:00";"0";"4012";"1";"NEW";"1019,693";"2";"TAG";"1";"2017-03-08 00:37:47";"";"Download";"TRANCE";"_2015_2019";"2017";"2";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Relativ - HalluciNation EP (2017)";"FLAC";"";"128";"2017-03-13 12:53:34";"0";"Relativ - HalluciNation EP ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\VA - Svemirski Hod (croatia) (2016)\cover.jpg";"1";"2017-03-13 12:53:56";"Download";"7690D8CD6EC1B69FD3A16AD0FF01FF96";"02:27:32";"0";"4013";"6";"NEW";"8852,079";"17";"TAG";"1";"2017-03-13 12:25:15";"";"Download";"TRANCE";"_2015_2019";"2016";"17";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\VA - Svemirski Hod (croatia) (2016)";"FLAC";"";"1036";"2017-03-13 12:53:56";"0";"VA - Svemirski Hod (croatia) ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD55] FREq - Remixed (2008)\cover.jpg";"1";"2017-03-13 12:56:46";"Label/Physique";"E71C7FC905EF8FF5C22B8AE4BD4F9C83";"01:11:55";"0";"3393";"1";"UPDATE";"4314,653";"9";"TAG";"1";"2017-03-08 00:49:07";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2008";"9";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD55] FREq - Remixed (2008)";"FLAC";"IBOGACD55";"471";"2016-08-01 13:05:52";"1";"FREq - Remixed ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD66] Liquid Soul - Cocktails (2009)\CD1\cover.jpg";"2";"2017-03-13 12:57:08";"Label/Physique";"3A2BDE6E65A5CEA579A65F82185EAEC6";"02:28:33";"0";"3400";"2";"UPDATE";"8912,691";"18";"TAG";"2";"2016-07-24 13:36:43";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2009";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD66] Liquid Soul - Cocktails (2009)";"FLAC";"IBOGACD66";"965";"2016-08-01 13:06:36";"2";"Liquid Soul - Cocktails ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD65] Set 11 - Frequent Itinerant compiled by John OO Fleming (2009)\CD1\cover.jpg";"2";"2017-03-13 12:57:00";"Label/Physique";"6551765827723607E965DCAFE64B489D";"02:33:38";"0";"3399";"2";"UPDATE";"9218,492";"18";"TAG";"2";"2016-07-24 13:39:31";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2009";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD65] Set 11 - Frequent Itinerant compiled by John OO Fleming (2009)";"FLAC";"IBOGACD65";"1035";"2016-08-01 13:06:30";"2";"Set 11 - Frequent Itinerant compiled by John OO Fleming ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD33] Set 6 - Evolved compiled by Frequence (2005)\cover.jpg";"1";"2017-03-13 12:56:20";"Label/Physique";"CC5A963480D27A3DCD9F30760674D780";"01:16:18";"0";"3382";"1";"UPDATE";"4577,96";"9";"TAG";"1";"2017-03-08 00:49:05";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2005";"9";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD33] Set 6 - Evolved compiled by Frequence (2005)";"FLAC";"IBOGACD33";"495";"2016-08-01 13:04:37";"1";"Set 6 - Evolved compiled by Frequence ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD39] Summer Collection Vol.2 (Compiled by Emok & Banel) (2006)\Cover.jpg";"1";"2017-03-13 12:56:29";"Label/Physique";"4C6988491B7921873363FCDE44690BD9";"01:18:33";"0";"3383";"1";"UPDATE";"4712,96";"9";"TAG";"1";"2017-03-08 00:49:06";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2006";"9";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD39] Summer Collection Vol.2 (Compiled by Emok & Banel) (2006)";"FLAC";"IBOGACD39";"515";"2016-08-01 13:04:43";"1";"Summer Collection Vol.2 (Compiled by Emok & Banel) ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD79] VA - Groove Attack 2CD (2012)\CD1\cover.jpg";"2";"2017-03-13 12:57:25";"Label/Physique";"63173737B4884F82EAD6853093765B18";"02:26:03";"0";"4014";"10";"NEW";"8762,666";"18";"TAG";"2";"2017-03-06 18:10:34";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2012";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD79] VA - Groove Attack 2CD (2012)";"FLAC";"IBOGACD79";"1049";"2017-03-13 12:57:25";"2";"VA - Groove Attack 2CD ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Spintwist Records\[SPN1DIGI304] Audiomatic - Raw Emotions EP (2016)\cover.jpg";"1";"2017-03-13 13:00:28";"Label/Physique";"28FFAD7A74FD0F82D316E8284C27A986";"00:14:55";"0";"4015";"1";"NEW";"895,16";"2";"TAG";"1";"2017-03-08 00:37:49";"Spintwist Records";"Labels";"TRANCE";"Spintwist Records";"2016";"2";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Spintwist Records\[SPN1DIGI304] Audiomatic - Raw Emotions EP (2016)";"FLAC";"SPN1DIGI304";"96";"2017-03-13 13:00:28";"0";"Audiomatic - Raw Emotions EP ";"0"
