"TAG_Duration";"FIL_Track";"TAG_length";"TAG_Exten";"ODR_Track";"TAG_Albumartists";"Position1";"TAG_Year";"TAG_Artists";"TAG_Genres";"REP_Album";"Position2";"TAG_Album";"Category";"TAG_Disc";"TAG_Track";"TAG_Title";"ID_CD";"REP_Track";"Date_Insert";"Statut";"ID_TRACK";"Family"
"503,326";"01. Dominik Eulberg & Gabriel Ananda - The Space Between Us (Original Mix).flac";"00:08:23";"Flac Audio";"1-01";"Dominik Eulberg & Gabriel Ananda";"Download";"2013";"Dominik Eulberg & Gabriel Ananda";"Tech House/Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dominik Eulberg & Gabriel Ananda - The Space Between Us [TRAUMV165.5] (2013)";"Dominik Eulberg & Gabriel Ananda - The Space Between Us [TRAUMV165.5] (2013)";"The Space Between Us";"TECHNO";"1";"01";"The Space Between Us";"4018";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dominik Eulberg & Gabriel Ananda - The Space Between Us [TRAUMV165.5] (2013)";"2017-03-17 12:24:21";"NEW";"54637";"Download"
"561,966";"02. Dominik Eulberg & Gabriel Ananda - Dinosaurs In The Sky (Original Mix).flac";"00:09:22";"Flac Audio";"1-02";"Dominik Eulberg & Gabriel Ananda";"Download";"2013";"Dominik Eulberg & Gabriel Ananda";"Tech House/Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dominik Eulberg & Gabriel Ananda - The Space Between Us [TRAUMV165.5] (2013)";"Dominik Eulberg & Gabriel Ananda - The Space Between Us [TRAUMV165.5] (2013)";"The Space Between Us";"TECHNO";"1";"02";"Dinosaurs In The Sky";"4018";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dominik Eulberg & Gabriel Ananda - The Space Between Us [TRAUMV165.5] (2013)";"2017-03-17 12:24:21";"NEW";"54638";"Download"
"361,361";"101 - Dubfire & Oliver Huntemann - Diablo (Original).flac";"00:06:01";"Flac Audio";"1-01";"Dubfire & Oliver Huntemann";"Download";"2016";"Dubfire & Oliver Huntemann";"Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Retrospectivo 2008–2016";"TECHNO";"1";"01";"Diablo (Original)";"4019";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"2017-03-17 12:24:27";"NEW";"54639";"Download"
"465";"102 - Dubfire & Oliver Huntemann - Diablo (Carlo Lio Remix).flac";"00:07:45";"Flac Audio";"1-02";"Dubfire & Oliver Huntemann";"Download";"2016";"Dubfire & Oliver Huntemann";"Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Retrospectivo 2008–2016";"TECHNO";"1";"02";"Diablo (Carlo Lio Remix)";"4019";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"2017-03-17 12:24:27";"NEW";"54640";"Download"
"594,686";"103 - Dubfire & Oliver Huntemann - Dios (Original).flac";"00:09:55";"Flac Audio";"1-03";"Dubfire & Oliver Huntemann";"Download";"2016";"Dubfire & Oliver Huntemann";"Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Retrospectivo 2008–2016";"TECHNO";"1";"03";"Dios (Original)";"4019";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"2017-03-17 12:24:27";"NEW";"54641";"Download"
"371,308";"104 - Dubfire & Oliver Huntemann - Dios (Jon Gaiser's Atheists Anonymous Remix).flac";"00:06:11";"Flac Audio";"1-04";"Dubfire & Oliver Huntemann";"Download";"2016";"Dubfire & Oliver Huntemann";"Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Retrospectivo 2008–2016";"TECHNO";"1";"04";"Dios (Jon Gaiser's Atheists Anonymous Remix)";"4019";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"2017-03-17 12:24:27";"NEW";"54642";"Download"
"482,083";"105 - Dubfire & Oliver Huntemann - Humano (Original).flac";"00:08:02";"Flac Audio";"1-05";"Dubfire & Oliver Huntemann";"Download";"2016";"Dubfire & Oliver Huntemann";"Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Retrospectivo 2008–2016";"TECHNO";"1";"05";"Humano (Original)";"4019";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"2017-03-17 12:24:27";"NEW";"54643";"Download"
"499,579";"106 - Dubfire & Oliver Huntemann - Humano (Victor Ruiz Remix).flac";"00:08:20";"Flac Audio";"1-06";"Dubfire & Oliver Huntemann";"Download";"2016";"Dubfire & Oliver Huntemann";"Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Retrospectivo 2008–2016";"TECHNO";"1";"06";"Humano (Victor Ruiz Remix)";"4019";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"2017-03-17 12:24:28";"NEW";"54644";"Download"
"402,123";"107 - Dubfire & Oliver Huntemann - Humano (Shaded's Summer Skin Remix).flac";"00:06:42";"Flac Audio";"1-07";"Dubfire & Oliver Huntemann";"Download";"2016";"Dubfire & Oliver Huntemann";"Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Retrospectivo 2008–2016";"TECHNO";"1";"07";"Humano (Shaded's Summer Skin Remix)";"4019";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"2017-03-17 12:24:28";"NEW";"54645";"Download"
"524,458";"108 - Dubfire & Oliver Huntemann - Humano (Hatzler Remix).flac";"00:08:44";"Flac Audio";"1-08";"Dubfire & Oliver Huntemann";"Download";"2016";"Dubfire & Oliver Huntemann";"Techno";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"Retrospectivo 2008–2016";"TECHNO";"1";"08";"Humano (Hatzler Remix)";"4019";"\\HOMERSTATION\_LossLess\TECHNO\Download\Dubfire & Oliver Huntemann - Retrospectivo 2008–2016 (2CD) (2016)";"2017-03-17 12:24:28";"NEW";"54646";"Download"
